meanunitssoldperproduct,meandiscount,rating,meanproductprices,urgencytextrate,meanproductratingscount,meanretailprices,merchantid,averagediscount,totalunitssold,listedproducts,merchantratingscount,totalurgencycount
75.0,77.5,3.943,1.93,100.0,25.0,8.5,56c94ae6df108f5af83b1e0f,78.0,150,2,7248.0,2
100.0,0.0,4.03,2.0,100.0,58.0,2.0,5dda41a275cf541cc0b6cf99,0.0,100,1,689.0,1
1000.0,45.5,4.331,12.0,100.0,258.0,22.0,5901f6c2a8e3eb2aca4b5559,46.0,2000,2,4508.0,2
100.0,70.0,3.659,8.0,50.0,13.0,26.0,5d50fb2b1d9a8e23e3334c81,70.0,200,2,138.0,1
100.0,-10.0,3.968,11.0,50.0,22.0,10.0,58a3db5e05b2f9716d029e30,-10.0,200,2,16487.0,1
1000.0,30.0,3.91,12.0,50.0,103.0,17.0,546d44001280fa3ce1bf80fa,30.0,2000,2,20478.0,1
525.0,85.0,4.003,8.5,50.0,25.0,59.0,5b29ff427752c84390ed6ecf,85.0,1050,2,4773.0,1
10050.0,4.0,3.919,3.38,50.0,876.0,3.5,5810aa5bde5bf01b645c909e,4.0,20100,2,3791.0,1
100.0,-14.0,3.897,8.0,100.0,23.0,7.0,5eb8e443cefdd67ac09f93ca,-14.0,100,1,107.0,1
10500.0,31.0,4.085,9.0,50.0,670.0,13.0,59c8a909ae228e37ae159559,31.0,21000,2,15076.0,1
3000.0,33.0,4.137,6.11,25.0,312.0,11.5,565c13ad389b9b2df29caa32,33.0,12000,4,11505.0,1
100.0,0.0,3.918,5.0,100.0,25.0,5.0,5e5dec4430477e47e6838d5d,0.0,100,1,98.0,1
50.0,-14.0,3.792,8.0,50.0,6.0,7.0,5b0fa1b72c3c1d2abb34f1a4,-14.0,100,2,519.0,1
550.0,93.5,4.007,1.8,50.0,22.0,25.5,5d5f4780bd01a83fca39e0db,94.0,1100,2,1373.0,1
1000.0,-15.0,4.229,15.0,100.0,497.0,13.0,58c14b3e98d70751f799bc3f,-15.0,1000,1,3533.0,1
50.0,-16.0,4.353,7.0,33.0,4.0,6.0,5d4bbed57ad242352a46d910,-16.0,150,3,34.0,1
100.0,65.0,4.444,5.75,100.0,27.0,16.0,5d513ddf1d9a8e239c347192,65.0,100,1,36.0,1
1550.0,35.75,3.968,8.5,75.0,193.0,33.0,58311e2257e86a1b8863f74c,36.0,6200,4,7076.0,3
1000.0,40.0,3.677,6.0,50.0,87.0,10.0,5eba4507ad610e0589cab8c3,40.0,2000,2,232.0,1
100.0,87.0,3.766,8.0,50.0,114.0,59.0,5e693079c6a6e679c0bf4613,87.0,200,2,231.0,1
5000.0,23.0,4.135,7.0,100.0,1169.0,9.0,585f9ac5d7d14e4d51c16d4e,23.0,5000,1,33705.0,1
1000.0,-12.0,4.146,18.0,100.0,477.0,16.0,5b420ce3d9b2a4418b74ae31,-12.0,1000,1,2116.0,1
400.0,48.67,3.895,8.54,33.0,172.0,24.0,55dc300452a04b658ad68139,49.0,1200,3,26473.0,1
550.0,-4.0,4.039,5.35,50.0,109.0,5.0,5d40ffe372b0c94d00f6c1f0,-4.0,1100,2,1559.0,1
5000.0,-10.0,3.88,11.0,50.0,402.0,10.0,5646e6e72a6bdb446aaf6cc8,-10.0,10000,2,20037.0,1
775.0,13.5,4.195,11.5,50.0,167.0,22.75,5ae00dbf67d25c69bcf0251c,14.0,3100,4,4811.0,2
5525.0,25.25,3.981,11.25,25.0,972.0,29.25,55ed5a3362e273427107759e,25.0,22100,4,12913.0,1
10000.0,25.0,4.074,6.0,100.0,1010.0,8.0,5730557ae3daeb5b35ee1f0b,25.0,10000,1,10665.0,1
100.0,-18.0,4.048,13.0,50.0,26.0,11.0,5e8ad4c829e7860d8e20b40c,-18.0,200,2,21.0,1
2775.0,7.0,4.02,8.75,50.0,320.0,9.5,58cfdefdacb37b556efdff7c,7.0,11100,4,23832.0,2
100.0,44.0,3.909,14.0,100.0,50.0,25.0,5d46ce1a8388976d8c042c39,44.0,100,1,230.0,1
50.0,74.0,4.458,9.0,50.0,5.0,34.0,5a14dbb27dee4a2da907bddb,74.0,100,2,537.0,1
50.0,0.0,3.516,4.0,50.0,1.0,4.0,5d5a520c560eca48d7f140eb,0.0,100,2,254.0,1
100.0,51.0,4.069,3.94,50.0,21.0,8.0,5e50e6b968f8f90ec04531bf,51.0,200,2,189.0,1
1000.0,47.0,4.173,5.84,50.0,307.0,11.0,548142ac653d51041ac1174f,47.0,2000,2,10377.0,1
