meanunitssoldperproduct,meandiscount,rating,meanproductprices,urgencytextrate,meanproductratingscount,meanretailprices,merchantid,averagediscount,totalunitssold,listedproducts,merchantratingscount,totalurgencycount
1000.0,38.0,3.995,5.0,100.0,31.0,8.0,5700e2be27992f63cdca2dca,38.0,1000,1,8484.0,1
10.0,10.0,3.691,9.0,50.0,0.0,10.0,5d676dae88a10253b1781da6,10.0,20,2,291.0,1
10.0,59.0,3.778,3.7,100.0,4.0,9.0,5e4f81dc968c88593150e98e,59.0,10,1,72.0,1
1000.0,88.0,3.862,6.0,50.0,134.0,47.0,583512a3b63b3b249b0acc46,88.0,2000,2,25914.0,1
550.0,-15.0,3.838,7.5,50.0,93.0,6.5,5d462e58f320403871a78593,-15.0,1100,2,2055.0,1
100.0,-11.33,4.156,9.24,33.0,11.0,8.33,5df71a34092d7302140be245,-11.0,300,3,885.0,1
1000.0,0.0,4.325,5.0,50.0,31.0,5.0,590f2995f3d19c2cba264414,0.0,2000,2,2792.0,1
2550.0,-6.5,3.854,10.98,50.0,368.0,10.0,5963882dd9b42511248ca27d,-6.0,5100,2,2363.0,1
5000.0,38.0,4.089,5.65,100.0,1002.0,9.0,5641e263906c9c12737e6725,38.0,5000,1,5534.0,1
6667.0,-16.0,3.85,6.59,33.0,549.0,5.67,5b1522ab7b94e12ee3d455c9,-16.0,20000,3,4295.0,1
1000.0,0.0,4.09,8.0,100.0,187.0,8.0,5aec1dd2c96bb815b802df67,0.0,1000,1,1761.0,1
1000.0,62.0,4.008,12.0,100.0,344.0,31.0,56effd3864d54a58a619bdb1,62.0,1000,1,639.0,1
1000.0,48.0,3.982,11.0,100.0,545.0,21.0,58d3828699637874f89eb45a,48.0,1000,1,33303.0,1
450.0,21.2,3.797,6.03,80.0,34.0,7.0,5d4a717070327a03c1e7644e,21.0,2250,5,3762.0,4
100.0,65.0,4.167,6.0,100.0,93.0,17.0,59f9687a37f9f80d31798d60,65.0,100,1,629.0,1
50.0,15.0,4.059,6.0,33.0,3.0,7.0,5a2fa9ce6ea4a770c66f5599,15.0,150,3,1374.0,1
5000.0,72.0,4.267,16.0,100.0,781.0,56.0,53c62f6b46188e177eb57b6d,72.0,5000,1,12083.0,1
100.0,74.0,3.535,9.0,50.0,28.0,34.0,56498ab42a6bdb4474afa47b,74.0,200,2,1472.0,1
100.0,-14.0,4.129,16.0,100.0,54.0,14.0,595097d6a26f6e070cb878d1,-14.0,100,1,568.0,1
1000.0,47.0,4.391,5.87,50.0,209.0,11.0,5b4028d56385741bff3b9163,47.0,2000,2,6187.0,1
100.0,-14.0,4.148,16.0,50.0,11.0,14.0,5b722effbfb77d14812b8c2c,-14.0,200,2,3588.0,1
100.0,0.0,3.625,6.0,33.0,5.0,6.0,5dc40e313710b91b0f04fcc5,0.0,300,3,112.0,1
4250.0,26.75,3.899,10.0,50.0,571.0,17.5,59aaa4d39fbc514dc80328e3,27.0,17000,4,17120.0,2
2775.0,19.5,4.101,11.5,25.0,521.0,17.75,5832e5632f5e534c23488f06,20.0,11100,4,18029.0,1
100.0,84.0,3.84,5.0,50.0,13.0,30.0,52838e612dcc6469fa2d7104,84.0,200,2,16215.0,1
5000.0,0.0,4.297,5.0,100.0,1013.0,5.0,578e0488ba8cd20e9b1b4a3b,0.0,5000,1,13510.0,1
1000.0,25.0,4.171,6.0,100.0,523.0,8.0,58cf7224712870506c44edd9,25.0,1000,1,3218.0,1
1000.0,73.0,4.417,6.0,100.0,201.0,22.0,5b80fee2008a3e2f6ec81563,73.0,1000,1,3439.0,1
10.0,0.0,3.81,7.0,100.0,11.0,7.0,58c214fd95dc43508c12899c,0.0,10,1,4485.0,1
1000.0,-16.0,4.204,7.0,100.0,129.0,6.0,590d6c356815062709f1b06c,-16.0,1000,1,941.0,1
5000.0,84.0,3.864,8.0,100.0,1057.0,50.0,59e6e21337f9f80861ee895f,84.0,5000,1,7631.0,1
1733.0,92.33,3.696,3.0,33.0,529.0,46.67,54d83b6b6b8a771e478558de,92.0,5200,3,4435.0,1
100.0,77.0,3.646,6.0,100.0,12.0,26.0,5e50fecf18034a89e1aeede8,77.0,100,1,99.0,1
10000.0,15.0,4.055,6.0,100.0,1238.0,7.0,5556c60071e86d19fe7590d4,15.0,10000,1,5993.0,1
100.0,36.0,3.708,11.0,50.0,3.0,17.0,5b0cd8577e43f257d4a05469,36.0,200,2,1279.0,1
1000.0,-14.0,4.109,8.0,50.0,118.0,7.0,5d410bd1fe55c814ade29a1c,-14.0,2000,2,612.0,1
100.0,0.0,3.884,3.0,67.0,58.0,3.0,5a698cef028bbd27227d3d12,0.0,300,3,1050.0,2
100.0,52.0,3.997,16.0,100.0,61.0,33.0,59e071d99fbc517c29711220,52.0,100,1,2435.0,1
50.0,86.0,3.872,8.0,100.0,6.0,56.0,5e6a5f041511dc46c06eac19,86.0,50,1,47.0,1
1000.0,28.0,4.306,8.0,100.0,127.0,11.0,5d3bc9f8e13a7e654424a4cb,28.0,1000,1,173.0,1
100.0,-12.0,3.894,9.0,50.0,27.0,8.0,5d3e6e0ce13a7e7ae9f35f74,-12.0,200,2,104.0,1
50.0,-14.0,4.16,8.0,100.0,6.0,7.0,578caf669035dc557db297c0,-14.0,50,1,19281.0,1
